Bi: 463, Pp: 101010101010101, Tb: 3890236
Bi: 4504, Pp: 101010101010101, Tb: 3894755
Bi: 23113, Pp: 010101010101010, Tb: 3917883
Bi: 1328, Pp: 010101010101010, Tb: 3919226
Bi: 4624, Pp: 10101010101010101, Tb: 3923867
Bi: 11928, Pp: 10101010101010101, Tb: 3935812
Bi: 12497, Pp: 010101010101010, Tb: 3948324
Bi: 60670, Pp: 010101010101010, Tb: 4009009
Bi: 7113, Pp: 10101010101010101, Tb: 4016139
Bi: 6134, Pp: 101010101010101, Tb: 4022288
Bi: 20394, Pp: 101010101010101, Tb: 4042697
Bi: 2173, Pp: 010101010101010, Tb: 4044885
Bi: 43781, Pp: 101010101010101, Tb: 4088681
Bi: 99456, Pp: 010101010101010, Tb: 4188152
Bi: 23, Pp: 01010101010101010, Tb: 4188192
Bi: 1688, Pp: 10101010101010101, Tb: 4189897
Bi: 30860, Pp: 010101010101010, Tb: 4220772
Bi: 10977, Pp: 101010101010101, Tb: 4231764
Bi: 16374, Pp: 101010101010101, Tb: 4248153
Bi: 37266, Pp: 101010101010101, Tb: 4285434
Bi: 20674, Pp: 01010101010101010, Tb: 4306125
Bi: 78220, Pp: 010101010101010, Tb: 4384360
Bi: 40370, Pp: 101010101010101, Tb: 4424745
Bi: 4461, Pp: 01010101010101010, Tb: 4429223
Bi: 433, Pp: 010101010101010, Tb: 4429671
Bi: 4827, Pp: 010101010101010, Tb: 4434513
Bi: 20529, Pp: 101010101010101, Tb: 4455057
Bi: 3863, Pp: 010101010101010, Tb: 4458935
Bi: 26729, Pp: 101010101010101, Tb: 4485679
Bi: 4850, Pp: 101010101010101, Tb: 4490544
Bi: 81478, Pp: 010101010101010, Tb: 4572037
Bi: 37233, Pp: 101010101010101, Tb: 4609285
Bi: 10242, Pp: 101010101010101, Tb: 4619542
Bi: 15098, Pp: 010101010101010, Tb: 4634655
Bi: 13558, Pp: 101010101010101, Tb: 4648228
Bi: 34609, Pp: 010101010101010, Tb: 4682852
Bi: 100990, Pp: 101010101010101, Tb: 4783857
Bi: 67233, Pp: 010101010101010, Tb: 4851105
Bi: 35309, Pp: 010101010101010, Tb: 4886429
Bi: 90423, Pp: 010101010101010, Tb: 4976867
Bi: 19515, Pp: 10101010101010101, Tb: 4996399
Bi: 4099, Pp: 101010101010101, Tb: 5000513
Bi: 19697, Pp: 010101010101010, Tb: 5020225
Bi: 30898, Pp: 101010101010101, Tb: 5051138
Bi: 8162, Pp: 101010101010101, Tb: 5059315
Bi: 13149, Pp: 101010101010101, Tb: 5072479
Bi: 34477, Pp: 010101010101010, Tb: 5106971
Bi: 66294, Pp: 010101010101010, Tb: 5173280
Bi: 44535, Pp: 010101010101010, Tb: 5217830
Bi: 80752, Pp: 101010101010101, Tb: 5298597
Bi: 12805, Pp: 0101010101010101010, Tb: 5311421
Bi: 24185, Pp: 101010101010101, Tb: 5335621
Bi: 36919, Pp: 010101010101010, Tb: 5372555
Bi: 60393, Pp: 101010101010101, Tb: 5432963
Bi: 63461, Pp: 1010101010101010101, Tb: 5496443
Bi: 39719, Pp: 101010101010101, Tb: 5536177
Bi: 5662, Pp: 010101010101010, Tb: 5541854
Bi: 391, Pp: 101010101010101, Tb: 5542260
Bi: 4741, Pp: 010101010101010, Tb: 5547016
Bi: 18453, Pp: 10101010101010101, Tb: 5565486
Bi: 95045, Pp: 101010101010101, Tb: 5660546
Bi: 30895, Pp: 10101010101010101, Tb: 5691458
Bi: 33462, Pp: 01010101010101010, Tb: 5724937
Bi: 15093, Pp: 010101010101010101010, Tb: 5740051
Bi: 4823, Pp: 010101010101010, Tb: 5744889
Bi: 28937, Pp: 10101010101010101, Tb: 5773843
Bi: 18139, Pp: 010101010101010, Tb: 5791997
Bi: 33272, Pp: 010101010101010, Tb: 5825284
Bi: 8103, Pp: 010101010101010, Tb: 5833402
Bi: 64117, Pp: 101010101010101, Tb: 5897534
Bi: 54784, Pp: 010101010101010, Tb: 5952333
Bi: 12042, Pp: 010101010101010, Tb: 5964390
Bi: 38973, Pp: 10101010101010101, Tb: 6003380
Bi: 26406, Pp: 1010101010101010101, Tb: 6029805
Bi: 21044, Pp: 010101010101010, Tb: 6050864
Bi: 25508, Pp: 010101010101010, Tb: 6076387
Bi: 56308, Pp: 0101010101010101010, Tb: 6132714
Bi: 6566, Pp: 010101010101010, Tb: 6139295
Bi: 26343, Pp: 101010101010101, Tb: 6165653
Bi: 35840, Pp: 101010101010101, Tb: 6201508
Bi: 26519, Pp: 101010101010101, Tb: 6228042
Bi: 6073, Pp: 010101010101010, Tb: 6234130
Bi: 23249, Pp: 101010101010101, Tb: 6257394
Bi: 31666, Pp: 10101010101010101, Tb: 6289077
Bi: 20959, Pp: 101010101010101, Tb: 6310051
Bi: 3576, Pp: 101010101010101, Tb: 6313642
Bi: 180519, Pp: 101010101010101, Tb: 6494176
Bi: 3314, Pp: 101010101010101, Tb: 6497505
Bi: 4320, Pp: 010101010101010, Tb: 6501840
Bi: 29934, Pp: 010101010101010, Tb: 6531789
Bi: 34378, Pp: 01010101010101010, Tb: 6566184
Bi: 47530, Pp: 010101010101010, Tb: 6613729
Bi: 30391, Pp: 010101010101010, Tb: 6644135
Bi: 12012, Pp: 101010101010101, Tb: 6656162
Bi: 69171, Pp: 010101010101010, Tb: 6725348
Bi: 2489, Pp: 010101010101010, Tb: 6727852
Bi: 11055, Pp: 10101010101010101, Tb: 6738924
Bi: 31803, Pp: 101010101010101, Tb: 6770742
Bi: 34964, Pp: 0101010101010101010, Tb: 6805725
Bi: 4931, Pp: 010101010101010, Tb: 6810671
Bi: 51496, Pp: 010101010101010, Tb: 6862182
Bi: 5291, Pp: 101010101010101, Tb: 6867488
Bi: 33160, Pp: 101010101010101, Tb: 6900663
Bi: 12465, Pp: 1010101010101010101, Tb: 6913147
Bi: 80296, Pp: 10101010101010101, Tb: 6993460
Bi: 27756, Pp: 010101010101010, Tb: 7021231
Bi: 13175, Pp: 010101010101010, Tb: 7034421
Bi: 2489, Pp: 010101010101010, Tb: 7036925
Bi: 19344, Pp: 101010101010101, Tb: 7056284
Bi: 28503, Pp: 1010101010101010101, Tb: 7084806
Bi: 26579, Pp: 10101010101010101, Tb: 7111402
Bi: 65592, Pp: 010101010101010, Tb: 7177009
Bi: 56141, Pp: 010101010101010, Tb: 7233165
Bi: 48485, Pp: 1010101010101010101, Tb: 7281669
Bi: 17278, Pp: 101010101010101, Tb: 7298962
Bi: 52183, Pp: 010101010101010, Tb: 7351160
Bi: 22964, Pp: 010101010101010, Tb: 7374139
Bi: 33083, Pp: 010101010101010, Tb: 7407237
Bi: 32232, Pp: 101010101010101, Tb: 7439484
Bi: 72836, Pp: 010101010101010, Tb: 7512335
Bi: 1996, Pp: 101010101010101, Tb: 7514346
Bi: 32388, Pp: 101010101010101, Tb: 7546749
Bi: 25900, Pp: 010101010101010, Tb: 7572664
Bi: 96310, Pp: 101010101010101, Tb: 7668989
Bi: 36721, Pp: 01010101010101010, Tb: 7705727
Bi: 49041, Pp: 10101010101010101, Tb: 7754785
Bi: 74488, Pp: 01010101010101010, Tb: 7829290
Bi: 110427, Pp: 101010101010101, Tb: 7939732
Bi: 163, Pp: 10101010101010101, Tb: 7939912
Bi: 116087, Pp: 010101010101010, Tb: 8056014
Bi: 80080, Pp: 010101010101010, Tb: 8136109
Bi: 48117, Pp: 10101010101010101, Tb: 8184243
Bi: 14514, Pp: 10101010101010101, Tb: 8198774
Bi: 8979, Pp: 101010101010101, Tb: 8207768
Bi: 10962, Pp: 010101010101010, Tb: 8218745
Bi: 8009, Pp: 101010101010101, Tb: 8226769
Bi: 3005, Pp: 101010101010101, Tb: 8229789
Bi: 15233, Pp: 010101010101010, Tb: 8245037
Bi: 4977, Pp: 101010101010101, Tb: 8250029
Bi: 58848, Pp: 101010101010101, Tb: 8308892
Bi: 6608, Pp: 10101010101010101, Tb: 8315517
Bi: 41528, Pp: 01010101010101010, Tb: 8357062
Bi: 33457, Pp: 101010101010101, Tb: 8390534
Bi: 697, Pp: 101010101010101, Tb: 8391246
Bi: 755, Pp: 010101010101010, Tb: 8392016
Bi: 43566, Pp: 010101010101010, Tb: 8435597
Bi: 18731, Pp: 010101010101010, Tb: 8454343
Bi: 4349, Pp: 010101010101010, Tb: 8458707
Bi: 184514, Pp: 101010101010101, Tb: 8643236
Bi: 27679, Pp: 010101010101010, Tb: 8670930
Bi: 10488, Pp: 01010101010101010, Tb: 8681435
Bi: 25056, Pp: 101010101010101, Tb: 8706506
Bi: 42049, Pp: 101010101010101, Tb: 8748570
Bi: 3856, Pp: 010101010101010, Tb: 8752441
Bi: 25209, Pp: 010101010101010, Tb: 8777665
Bi: 54816, Pp: 010101010101010, Tb: 8832496
Bi: 54785, Pp: 101010101010101, Tb: 8887296
Bi: 11520, Pp: 010101010101010, Tb: 8898831
Bi: 46619, Pp: 01010101010101010, Tb: 8945467
Bi: 51214, Pp: 101010101010101, Tb: 8996696
Bi: 96144, Pp: 010101010101010, Tb: 9092855
Bi: 22186, Pp: 010101010101010, Tb: 9115056
Bi: 19088, Pp: 010101010101010, Tb: 9134159
Bi: 8220, Pp: 1010101010101010101, Tb: 9142398
Bi: 91956, Pp: 101010101010101, Tb: 9234369
Bi: 51226, Pp: 010101010101010, Tb: 9285610
Bi: 10638, Pp: 010101010101010, Tb: 9296263
Bi: 6326, Pp: 010101010101010, Tb: 9302604
Bi: 26111, Pp: 101010101010101, Tb: 9328730
Bi: 113438, Pp: 01010101010101010, Tb: 9442185
Bi: 8442, Pp: 10101010101010101, Tb: 9450644
Bi: 21964, Pp: 0101010101010101010, Tb: 9472627
Bi: 4783, Pp: 10101010101010101, Tb: 9477427
Bi: 16837, Pp: 010101010101010, Tb: 9494279
Bi: 22928, Pp: 010101010101010, Tb: 9517222
Bi: 40365, Pp: 0101010101010101010, Tb: 9557606
Bi: 6326, Pp: 010101010101010, Tb: 9563947
Bi: 42268, Pp: 010101010101010, Tb: 9606230
Bi: 41707, Pp: 010101010101010, Tb: 9647952
Bi: 29673, Pp: 101010101010101, Tb: 9677640
Bi: 23201, Pp: 101010101010101, Tb: 9700856
Bi: 67076, Pp: 101010101010101, Tb: 9767947
Bi: 3326, Pp: 010101010101010, Tb: 9771288
Bi: 41798, Pp: 010101010101010, Tb: 9813101
Bi: 40800, Pp: 101010101010101, Tb: 9853916
Bi: 17171, Pp: 010101010101010, Tb: 9871102
Bi: 80152, Pp: 101010101010101, Tb: 9951269
Bi: 24168, Pp: 0101010101010101010, Tb: 9975456
Bi: 17603, Pp: 10101010101010101, Tb: 9993076
Bi: 10450, Pp: 10101010101010101, Tb: 10003543
Bi: 44992, Pp: 01010101010101010, Tb: 10048552
Bi: 74252, Pp: 010101010101010, Tb: 10122819
Bi: 8492, Pp: 0101010101010101010, Tb: 10131330
Bi: 8162, Pp: 10101010101010101, Tb: 10139509
Bi: 38324, Pp: 010101010101010, Tb: 10177848
Bi: 3701, Pp: 10101010101010101010101, Tb: 10181572
Bi: 31582, Pp: 101010101010101, Tb: 10213169
Bi: 21581, Pp: 010101010101010, Tb: 10234765
Bi: 26345, Pp: 101010101010101, Tb: 10261125
Bi: 18859, Pp: 010101010101010, Tb: 10279999
Bi: 37708, Pp: 101010101010101, Tb: 10317722
Bi: 59285, Pp: 10101010101010101, Tb: 10377024
Bi: 54479, Pp: 101010101010101, Tb: 10431518
Bi: 21423, Pp: 010101010101010, Tb: 10452956
Bi: 21124, Pp: 010101010101010, Tb: 10474095
Bi: 70256, Pp: 10101010101010101, Tb: 10544368
Bi: 18372, Pp: 10101010101010101, Tb: 10562757
Bi: 112145, Pp: 101010101010101, Tb: 10674917
Bi: 13508, Pp: 10101010101010101, Tb: 10688442
Bi: 32279, Pp: 10101010101010101, Tb: 10720738
Bi: 70801, Pp: 010101010101010, Tb: 10791554
Bi: 21739, Pp: 01010101010101010, Tb: 10813310
Bi: 14166, Pp: 101010101010101, Tb: 10827491
Bi: 16703, Pp: 101010101010101, Tb: 10844209
Bi: 13056, Pp: 101010101010101, Tb: 10857280
Bi: 34301, Pp: 101010101010101, Tb: 10891596
Bi: 27497, Pp: 010101010101010, Tb: 10919108
Bi: 116335, Pp: 101010101010101, Tb: 11035458
Bi: 1336, Pp: 101010101010101, Tb: 11036809
Bi: 4593, Pp: 101010101010101, Tb: 11041417
Bi: 36590, Pp: 010101010101010, Tb: 11078022
Bi: 32133, Pp: 01010101010101010, Tb: 11110172
Bi: 11559, Pp: 101010101010101, Tb: 11121746
Bi: 32837, Pp: 010101010101010, Tb: 11154598
Bi: 46192, Pp: 101010101010101, Tb: 11200805
Bi: 55435, Pp: 101010101010101, Tb: 11256255
Bi: 65844, Pp: 010101010101010, Tb: 11322114
Bi: 23313, Pp: 101010101010101, Tb: 11345442
Bi: 12624, Pp: 010101010101010, Tb: 11358081
Bi: 48072, Pp: 010101010101010, Tb: 11406168
Bi: 79138, Pp: 01010101010101010, Tb: 11485323
Bi: 18599, Pp: 101010101010101, Tb: 11503937
Bi: 38629, Pp: 010101010101010, Tb: 11542581
Bi: 23345, Pp: 0101010101010101010, Tb: 11565945
